site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
BR-Sa3, 100.0, 4, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
BR-Cax, 100.0, 4, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
SE-CO2, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-ARM, 100.0, 0, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Atq, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Bo1,  50.0,13,50.0,14, 0.0, 0, 0.0, 0, 0.0, 0 
US-Brw, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-Dk3, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-Ha1,  49.0, 8,27.0, 9,17.0,10, 7.0,11, 0.0, 0
US-Ho1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ivo, 100.0,11, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Los,  35.0, 2, 5.0, 3,20.0, 9,30.0,12,10.0,13
US-Me2, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Me4, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-MMS, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-MOz,  82.0, 7,18.0, 1, 0.0, 0, 0.0, 0, 0.0, 0
US-NR1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Pit, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-SPR,  25.0, 2,25.0, 3,25.0,11,25.0,12, 0.0, 0
US-Syv,  50.0, 1,50.0, 7, 0.0, 0, 0.0, 0, 0.0, 0
US-UMB, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-VA1, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Var, 100.0,13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-WCr, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
US-Wrc, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0 
REFCASE,100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
