site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
LI-AND, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-ARC, 100.0, 12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-BCI, 100.0, 4, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-BNZ, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-BSF, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-CDR, 100.0, 13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-CPR, 100.0, 13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-CWT, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-HBR, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-HFR, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-JRN, 100.0, 13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-JUN, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-KNZ, 100.0, 13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-LBS, 100.0, 4, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-LUQ, 100.0, 4, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-LVW, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-MTV, 100.0, 4, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-NWT, 100.0, 12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-OLY, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-SEV, 100.0, 13, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
LI-UFL, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
