site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
CA-Ca1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Oas, 100.0, 8, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Obs, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Ojp, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-Qfo, 100.0, 2, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
CA-TP4, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Dk3, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Ha1,  49.0, 8,27.0, 9,17.0,10, 7.0,11, 0.0, 0
US-Ho1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-Me2, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-MMS, 100.0, 7, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-MOz,  82.0, 7,18.0, 1, 0.0, 0, 0.0, 0, 0.0, 0
US-NR1, 100.0, 1, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
US-UMB,  89.0, 7,11.0, 1, 0.0, 0, 0.0, 0, 0.0, 0
