Year DOY Depth  Value           uncertainty
2013 200 15	25.76           23.4381077
2013 200 25	30.37111111	19.06794385
2013 200 50	44.46777778	13.66428629
2013 200 75	62.93777778	37.79252034
2013 200 100	26.26888889	11.75078789
2013 200 150	80.44			55.74599999
2013 200 200	64.85333333	41.05681718
2013 260 15	12.70277778	2.371654629
2013 260 25	27.85833333	14.13084255
2013 260 50	25.78611111	14.80040719
2013 260 75	79.07222222	55.93399828
2013 260 100	252.1927778	239.539787
2013 260 150	93.18833333	67.28093118
2013 260 200	122.4961111	53.59801697
2014 157 15	9.78			5.251557794
2014 157 25	2.446666667	2.21101284
2014 157 50	6.938888889	2.738028713
2014 157 75	14.14222222	8.577562101
2014 157 100	27.13888889	21.99017258
2014 157 150	20.01111111	16.03427813
2014 157 200	70.88444444	33.56348243
