Year	DOY	Depth  Value		uncertainty
2013	200	15	0.02576	0.02344
2013	200	25	0.03037	0.01907
2013	200	50	0.0445	0.01366
2013	200	75	0.06294	0.0378
2013	200	100	0.0263	0.0118
2013	200	150	0.08044	0.05575
2013	200	200	0.06485	0.04106
2013	260	15	0.0127	0.00237
2013	260	25	0.02786	0.01413
2013	260	50	0.02579	0.0148
2013	260	75	0.07907	0.0559
2013	260	100	0.2522	0.2395
2013	260	150	0.09319	0.06728
2013	260	200	0.12250	0.05360
2014	157	15	0.00978	0.00525
2014	157	25	0.00245	0.0022
2014	157	50	0.00694	0.00274
2014	157	75	0.01414	0.0086
2014	157	100	0.0271	0.02199
2014	157	150	0.02001	0.01603
2014	157	200	0.07088	0.03356
