Year	DOY	Value	uncertainty
2011	242	3.84464E-07	1.02669E-07
2011	243	2.58021E-07	4.35228E-08
2011	244	2.62738E-07	3.35883E-08
2011	271	2.50577E-07	8.55452E-08
2011	272	1.98021E-07	2.93242E-08
2011	299	2.01296E-07	1.64365E-08
2012	137	1.66786E-07	5.07875E-09
2012	165	1.7875E-07	5.66947E-09
2012	200	2.31111E-07	3.38955E-08
2012	271	1.82679E-07	1.21079E-08
2012	306	1.71042E-07	2.30626E-09
2013	121	1.64375E-07	8.62582E-10
2013	182	2.02917E-07	4.35121E-08
2013	203	2.051E-07	2.88277E-08
2013	204	2.32061E-07	4.09422E-08
2013	205	2.20036E-07	3.64148E-08
2013	209	2.02544E-07	3.1605E-08
2013	260	2.34931E-07	6.26025E-08
2013	261	2.26233E-07	6.30596E-08
2013	302	1.83966E-07	1.11217E-08
2013	303	1.68877E-07	1.31752E-08
